order_id,order_date,customer_id,region,category,product_name,quantity,unit_price,revenue,cost,profit,discount_pct,payment_method,customer_segment
ORD-10016,2024-12-09,CUST-3927,West,Electronics,Laptop,5,272.29,2042.18,996.34,1045.84,0.0,Credit Card,Business
ORD-10017,2025-05-06,CUST-3791,East,Clothing,T-Shirt,3,35.52,106.57,63.22,43.35,5.0,PayPal,Consumer
ORD-10018,2025-02-17,CUST-3224,North,Home & Garden,Curtains,4,55.89,223.56,133.44,90.12,20.0,Bank Transfer,Consumer
ORD-10019,2025-01-20,CUST-2587,East,Home & Garden,Curtains,1,50.57,50.57,22.56,28.01,0.0,Debit Card,Consumer
ORD-10020,2024-07-10,CUST-1743,East,Electronics,Camera,18,247.41,3785.35,1693.42,2091.93,5.0,Credit Card,Enterprise
ORD-10021,2024-10-03,CUST-1538,West,Electronics,Tablet,4,278.45,1113.78,543.22,570.56,0.0,PayPal,Enterprise
ORD-10022,2024-06-09,CUST-2654,North,Home & Garden,Lamp,2,54.63,92.87,48.54,44.33,15.0,Debit Card,Consumer
ORD-10023,2025-04-04,CUST-2147,North,Electronics,Headphones,1,147.58,147.58,84.21,63.37,0.0,Credit Card,Consumer
ORD-10024,2024-11-09,CUST-2678,North,Electronics,Headphones,6,203.47,1831.26,1214.03,617.23,20.0,PayPal,Consumer
ORD-10025,2024-01-22,CUST-2096,East,Electronics,Phone,15,230.94,3464.09,1896.98,1567.11,10.0,Bank Transfer,Enterprise
ORD-10026,2024-09-09,CUST-3517,North,Clothing,T-Shirt,3,54.04,162.11,96.23,65.88,0.0,Debit Card,Consumer
ORD-10027,2025-04-19,CUST-1520,East,Clothing,Sneakers,2,29.51,59.02,39.84,19.18,0.0,Debit Card,Consumer
ORD-10028,2024-02-28,CUST-3308,West,Home & Garden,Tool Set,1,43.87,43.87,22.57,21.3,0.0,Bank Transfer,Consumer
ORD-10029,2025-05-25,CUST-1219,South,Electronics,Phone,4,293.22,1172.9,665.61,507.29,0.0,Debit Card,Consumer
ORD-10030,2025-04-20,CUST-3229,East,Home & Garden,Plant Pot,2,32.64,65.28,45.49,19.79,0.0,Debit Card,Consumer
ORD-10031,2024-07-08,CUST-2872,West,Electronics,Phone,3,238.09,607.12,375.95,231.17,0.0,Credit Card,Consumer
ORD-10032,2024-08-31,CUST-1728,East,Sports,Running Shoes,1,99.92,99.92,41.0,58.92,15.0,Bank Transfer,Consumer
ORD-10033,2025-05-19,CUST-3662,North,Clothing,Sneakers,4,52.38,209.51,92.6,116.91,5.0,Debit Card,Consumer
ORD-10034,2024-05-10,CUST-1874,South,Clothing,Jacket,2,35.0,70.0,39.01,30.99,15.0,Bank Transfer,Consumer
ORD-10035,2025-04-29,CUST-2918,South,Electronics,Phone,2,279.27,558.54,274.65,283.89,0.0,Credit Card,Consumer
ORD-10036,2024-01-21,CUST-1729,North,Electronics,Laptop,1,305.68,305.68,165.93,139.75,5.0,Credit Card,Business
ORD-10037,2024-06-15,CUST-2320,East,Clothing,Dress,1,49.8,42.33,28.53,13.8,0.0,Bank Transfer,Business
ORD-10038,2024-09-30,CUST-3241,West,Home & Garden,Tool Set,2,39.19,78.38,48.34,30.04,0.0,Bank Transfer,Business
ORD-10039,2025-01-22,CUST-2065,East,Electronics,Phone,4,239.86,959.46,668.37,291.09,10.0,PayPal,Consumer
ORD-10040,2024-11-11,CUST-1822,South,Books,Biography,5,27.62,207.18,125.32,81.86,10.0,Credit Card,Business
ORD-10041,2024-01-14,CUST-1696,South,Books,Biography,2,26.37,52.74,25.79,26.95,0.0,Debit Card,Consumer
ORD-10042,2024-08-29,CUST-1926,West,Clothing,Jeans,1,37.16,37.16,15.87,21.29,0.0,Credit Card,Consumer
ORD-10043,2024-12-11,CUST-3475,West,Books,Self-Help,1,15.49,23.23,12.47,10.76,0.0,Credit Card,Consumer
ORD-10044,2024-12-05,CUST-1161,South,Electronics,Laptop,1,347.32,520.97,361.22,159.75,0.0,PayPal,Consumer
ORD-10045,2024-04-01,CUST-1724,South,Electronics,Phone,1,148.01,148.01,85.88,62.13,0.0,Bank Transfer,Consumer
ORD-10046,2025-01-01,CUST-1374,East,Electronics,Tablet,4,195.61,782.44,365.13,417.31,10.0,Credit Card,
ORD-10047,2025-03-30,CUST-2730,South,Clothing,Jacket,6,37.29,223.75,110.24,113.51,5.0,PayPal,Consumer
ORD-10048,2025-03-03,CUST-2436,North,Electronics,Phone,5,288.39,1441.93,672.52,769.41,15.0,Bank Transfer,Consumer
ORD-10049,2025-05-23,CUST-2934,South,Books,Self-Help,4,19.62,78.49,48.57,29.92,0.0,Credit Card,Business
ORD-10050,2024-02-04,CUST-3904,South,Electronics,Headphones,1,200.41,200.41,116.97,83.44,0.0,PayPal,Consumer
ORD-10051,2024-07-24,CUST-3329,North,Electronics,Tablet,3,88.26,225.07,120.4,104.67,10.0,Credit Card,Business
ORD-10052,2024-03-21,CUST-2773,North,Sports,Dumbbell,1,95.04,95.04,41.55,53.49,15.0,Debit Card,
ORD-10053,2025-01-22,CUST-3088,North,Electronics,Camera,3,171.55,514.66,241.25,273.41,15.0,Bank Transfer,Consumer
ORD-10054,2024-01-02,CUST-2059,East,Electronics,Laptop,3,76.84,230.53,130.86,99.67,0.0,Bank Transfer,Enterprise
ORD-10055,2025-01-24,CUST-2441,East,Home & Garden,Plant Pot,1,79.64,79.64,33.89,45.75,20.0,Credit Card,Consumer
ORD-10056,2024-04-15,CUST-3328,North,Electronics,Tablet,2,281.99,563.98,332.05,231.93,0.0,PayPal,Business
ORD-10057,2025-04-21,CUST-3430,West,Electronics,Laptop,7,344.66,2412.65,1426.46,986.19,0.0,PayPal,Consumer
ORD-10058,2025-02-05,CUST-1361,South,Electronics,Camera,7,76.1,532.7,363.4,169.3,20.0,Debit Card,Consumer
ORD-10059,2024-06-10,CUST-2618,North,Clothing,Sneakers,3,45.44,115.87,79.21,36.66,0.0,Debit Card,Consumer
ORD-10060,2024-07-20,CUST-2368,North,Books,Textbook,3,20.89,53.28,26.0,27.28,0.0,PayPal,Business
ORD-10061,2024-09-26,CUST-3837,East,Sports,Bicycle,2,82.99,165.97,99.69,66.28,0.0,Bank Transfer,Consumer
ORD-10062,2024-09-27,CUST-3254,North,Electronics,Camera,2,149.93,299.86,153.01,146.85,5.0,Debit Card,Consumer
ORD-10063,2025-03-31,CUST-3535,North,Clothing,Jacket,6,34.76,208.57,132.68,75.89,0.0,Credit Card,Business
ORD-10064,2025-04-06,CUST-1238,East,Clothing,Jeans,1,65.54,65.54,41.74,23.8,5.0,Credit Card,Consumer
ORD-10065,2024-09-08,CUST-2429,South,Books,Novel,1,30.21,30.21,18.96,11.25,5.0,Bank Transfer,Business
ORD-10066,2024-10-22,CUST-1985,East,Electronics,Phone,5,328.2,1640.99,680.12,960.87,15.0,Bank Transfer,Consumer
ORD-10067,2024-12-03,CUST-3010,East,Clothing,Jeans,2,36.91,110.73,65.97,44.76,,Debit Card,Consumer
ORD-10068,2024-02-22,CUST-2163,West,Home & Garden,Plant Pot,2,69.29,138.57,95.84,42.73,0.0,Credit Card,Consumer
ORD-10069,2024-08-04,CUST-2879,North,Books,Novel,3,14.21,42.63,29.55,13.08,0.0,Bank Transfer,Consumer
ORD-10070,2024-07-06,CUST-1655,North,Electronics,Camera,4,332.59,1130.8,516.8,614.0,0.0,Credit Card,Business
ORD-10071,2025-01-14,CUST-2115,West,Electronics,Camera,1,208.74,208.74,86.05,122.69,10.0,Debit Card,Consumer
ORD-10072,2025-05-07,CUST-3712,East,Electronics,Camera,3,211.87,635.6,276.8,358.8,20.0,Bank Transfer,Consumer
ORD-10073,2024-02-10,CUST-2601,East,Electronics,Phone,10,72.95,729.54,423.43,306.11,0.0,PayPal,Enterprise
ORD-10074,2024-06-05,CUST-1805,North,Home & Garden,Plant Pot,5,57.53,244.49,169.67,74.82,20.0,Credit Card,Consumer
ORD-10075,2024-01-15,CUST-1773,North,Home & Garden,Curtains,2,20.38,40.76,19.48,21.28,0.0,Bank Transfer,Business
ORD-10076,2024-03-05,CUST-1122,North,Home & Garden,Tool Set,1,52.15,52.15,28.77,23.38,0.0,Debit Card,Business
ORD-10077,2025-06-04,CUST-3964,South,Electronics,Camera,6,65.88,335.97,197.35,138.62,0.0,PayPal,Business
ORD-10078,2024-12-09,CUST-3881,North,Electronics,Camera,1,233.37,350.06,209.01,141.05,0.0,Bank Transfer,Business
ORD-10079,2024-05-08,CUST-3538,South,Electronics,Headphones,1,373.99,373.99,253.88,120.11,10.0,Credit Card,Consumer
ORD-10080,2025-04-16,CUST-3500,East,Electronics,Phone,3,270.38,811.14,543.21,267.93,,Credit Card,Business
ORD-10081,2024-03-03,CUST-1536,North,Home & Garden,Plant Pot,1,65.04,65.04,37.57,27.47,0.0,Debit Card,Consumer
ORD-10082,2024-05-18,CUST-3382,North,Electronics,Camera,4,142.08,568.32,304.98,263.34,20.0,Credit Card,Business
ORD-10083,2025-05-13,CUST-3624,South,Electronics,Headphones,4,243.19,972.78,645.46,327.32,0.0,PayPal,Consumer
ORD-10084,2025-01-26,CUST-3651,North,Clothing,Sneakers,1,52.31,52.31,26.77,25.54,5.0,Debit Card,Business
ORD-10085,2025-02-22,CUST-3420,North,Clothing,Dress,1,46.46,46.46,22.94,23.52,,Debit Card,Business
ORD-10086,2024-10-15,CUST-1077,North,Clothing,Sneakers,1,39.48,320.09088700461064,18.22,21.26,0.0,Bank Transfer,Consumer
ORD-10087,2025-01-13,CUST-2491,South,Sports,Yoga Mat,3,96.64,289.91,138.76,151.15,15.0,Debit Card,Consumer
ORD-10088,2025-05-04,CUST-1823,East,Electronics,Tablet,1,371.31,371.31,160.4,210.91,0.0,Bank Transfer,Business
ORD-10089,2024-08-18,CUST-1666,North,Home & Garden,Tool Set,3,30.61,91.83,,32.72,0.0,Debit Card,Consumer
ORD-10090,2024-02-10,CUST-2036,East,Electronics,Tablet,3,223.6,670.79,308.01,362.78,5.0,Bank Transfer,Consumer
ORD-10091,2024-01-28,CUST-2026,West,Electronics,Tablet,4,214.2,856.82,383.86,472.96,0.0,Bank Transfer,Consumer
ORD-10092,2024-05-14,CUST-2222,East,Books,Textbook,1,13.38,13.38,8.78,4.6,0.0,Bank Transfer,Consumer
ORD-10093,2024-07-19,CUST-1791,North,Electronics,Headphones,11,148.12,1384.91,903.28,481.63,0.0,PayPal,Consumer
ORD-10094,2024-02-02,CUST-3036,South,Home & Garden,Tool Set,1,86.51,86.51,51.17,35.34,10.0,Bank Transfer,Consumer
ORD-10095,2024-02-17,CUST-1421,East,Electronics,Headphones,1,263.08,263.08,142.84,120.24,0.0,PayPal,Consumer
ORD-10096,2025-05-17,CUST-3325,West,Clothing,Sneakers,3,67.78,203.35,92.75,110.6,0.0,Bank Transfer,Consumer
ORD-10097,2025-02-10,CUST-1982,West,Home & Garden,Curtains,5,78.15,,267.61,123.13,0.0,Bank Transfer,Consumer
ORD-10098,2024-04-08,CUST-2925,South,Sports,Running Shoes,1,88.25,88.25,55.7,32.55,0.0,PayPal,Consumer
ORD-10099,2025-06-30,CUST-2234,East,Sports,Tennis Racket,2,52.48,89.22,42.91,46.31,0.0,PayPal,Consumer
ORD-10100,2025-04-06,CUST-1221,West,Clothing,Sneakers,4,29.9,119.61,74.07,45.54,0.0,PayPal,Consumer
ORD-10101,2024-01-05,CUST-2412,West,Electronics,Tablet,2,314.24,628.47,275.68,352.79,5.0,PayPal,Consumer
ORD-10102,2024-08-05,CUST-2335,South,Home & Garden,Curtains,6,51.3,307.81,136.39,171.42,0.0,Bank Transfer,Enterprise
ORD-10103,2025-05-17,CUST-2864,North,Home & Garden,Rug,1,55.69,55.69,31.27,24.42,10.0,Bank Transfer,Consumer
ORD-10104,2025-02-01,CUST-1384,North,Electronics,Tablet,1,175.46,175.46,110.95,64.51,0.0,Debit Card,Consumer
ORD-10105,2025-01-27,CUST-3935,South,Clothing,Sneakers,6,29.16,1685.9058454943365,109.47,65.5,0.0,Debit Card,Consumer
ORD-10106,2024-07-25,CUST-1450,East,Sports,Tennis Racket,4,82.64,280.99,130.2,150.79,0.0,Bank Transfer,Business
ORD-10107,2024-01-15,CUST-2996,West,Clothing,Dress,1,62.85,62.85,29.74,33.11,15.0,Debit Card,Consumer
ORD-10108,2025-04-05,CUST-2739,West,Electronics,Tablet,4,245.9,983.61,655.93,327.68,10.0,PayPal,Enterprise
ORD-10109,2024-08-28,CUST-2510,North,Sports,Tennis Racket,1,78.89,78.89,33.92,44.97,5.0,Debit Card,Consumer
ORD-10110,2024-04-05,CUST-1355,East,Electronics,Laptop,2,300.6,601.2,411.34,189.86,5.0,PayPal,Consumer
ORD-10111,2025-04-29,CUST-2643,North,Electronics,Laptop,23,282.54,6498.45,4479.15,2019.3,,Bank Transfer,Enterprise
ORD-10112,2025-02-10,CUST-2258,East,Home & Garden,Lamp,2,43.12,86.24,39.72,46.52,0.0,Debit Card,Consumer
ORD-10113,2024-08-18,CUST-3068,East,Clothing,Jacket,15,53.64,804.65,510.95,293.7,0.0,PayPal,Enterprise
ORD-10114,2024-06-19,CUST-3455,North,Home & Garden,Rug,32,76.47,2079.99,851.03,1228.96,0.0,Bank Transfer,Enterprise
ORD-10115,2025-06-24,CUST-1295,North,Electronics,Headphones,7,130.43,776.03,356.98,419.05,10.0,Bank Transfer,Enterprise
ORD-10116,2024-02-05,CUST-3595,North,Electronics,Phone,4,277.36,1109.45,774.06,335.39,0.0,PayPal,Business
ORD-10117,2025-06-08,CUST-2377,North,Electronics,Camera,2,326.72,555.42,373.88,181.54,0.0,PayPal,Consumer
ORD-10118,2024-06-08,CUST-1335,West,Books,Novel,1,24.8,21.08,10.32,10.76,0.0,Bank Transfer,Consumer
ORD-10119,2024-08-30,CUST-1295,North,Clothing,Dress,6,64.75,388.52,176.74,211.78,0.0,Credit Card,Consumer
ORD-10120,2024-03-26,CUST-2975,North,Electronics,Camera,18,194.7,3504.53,1862.92,1641.61,10.0,Credit Card,Enterprise
ORD-10121,2024-01-28,CUST-1236,North,Electronics,Camera,4,354.85,1419.39,797.2,622.19,15.0,PayPal,Consumer
ORD-10122,2024-12-05,CUST-1717,West,Electronics,Laptop,2,322.02,966.07,663.59,302.48,0.0,Debit Card,Consumer
ORD-10123,2024-11-26,CUST-1757,South,Clothing,Jeans,2,65.58,196.75,122.41,74.34,0.0,PayPal,
ORD-10124,2025-05-20,CUST-3012,North,Electronics,Laptop,2,282.84,565.69,265.16,300.53,10.0,Bank Transfer,Consumer
ORD-10125,2024-12-13,CUST-3829,East,Clothing,Dress,2,60.25,180.76,93.41,87.35,0.0,PayPal,Consumer
ORD-10126,2025-04-17,CUST-3607,South,Clothing,Jacket,18,28.99,521.73,217.97,303.76,10.0,Credit Card,Enterprise
ORD-10127,2024-08-18,CUST-2852,South,Home & Garden,Plant Pot,10,70.15,701.5,330.6,370.9,,PayPal,Consumer
ORD-10128,2024-07-08,CUST-3902,East,Home & Garden,Curtains,2,77.09,,65.43,65.62,15.0,Credit Card,Consumer
ORD-10129,2024-08-12,CUST-3336,North,Clothing,T-Shirt,1,90.05,90.05,42.72,47.33,15.0,Debit Card,Consumer
ORD-10130,2025-01-19,CUST-3920,West,Electronics,Headphones,4,404.05,1616.22,685.87,930.35,5.0,Debit Card,Consumer
ORD-10131,2025-01-11,CUST-1747,East,Home & Garden,Tool Set,4,81.75,327.0,197.61,129.39,0.0,Debit Card,Consumer
ORD-10132,2024-10-09,CUST-3946,South,Home & Garden,Plant Pot,1,58.64,58.64,40.98,17.66,0.0,PayPal,Consumer
ORD-10133,2024-09-15,CUST-1057,North,Electronics,Tablet,3,172.57,517.7,361.09,156.61,0.0,Credit Card,Consumer
ORD-10134,2024-12-24,CUST-3139,West,Sports,Tennis Racket,5,54.53,408.99,,192.92,15.0,PayPal,Consumer
ORD-10135,2025-03-31,CUST-1668,East,Electronics,Headphones,2,297.46,594.91,376.84,218.07,0.0,Debit Card,Consumer
ORD-10136,2025-02-14,CUST-2899,North,Electronics,Laptop,1,253.4,253.4,142.83,110.57,0.0,PayPal,Consumer
ORD-10137,2024-11-13,CUST-2481,North,Electronics,Phone,6,193.23,1739.03,1001.62,737.41,0.0,Credit Card,Consumer
ORD-10138,2024-08-12,CUST-3891,South,Sports,Dumbbell,2,76.5,152.99,75.59,77.4,0.0,Bank Transfer,Consumer
ORD-10139,2024-08-21,CUST-2759,East,Clothing,T-Shirt,3,60.8,182.39,127.07,55.32,0.0,Credit Card,Consumer
ORD-10140,2025-01-08,CUST-2694,West,Home & Garden,Lamp,1,72.85,72.85,45.88,26.97,20.0,Debit Card,Consumer
ORD-10141,2025-04-16,CUST-2964,East,Electronics,Headphones,1,235.97,235.97,116.51,119.46,15.0,Debit Card,Business
ORD-10142,2024-08-20,CUST-3287,South,Clothing,Dress,1,43.53,43.53,21.37,22.16,15.0,Debit Card,Business
ORD-10143,2024-04-22,CUST-3306,North,Clothing,Dress,2,57.56,115.13,71.3,43.83,0.0,PayPal,Consumer
ORD-10144,2025-05-11,CUST-2429,East,Sports,Bicycle,4,112.93,451.73,254.78,196.95,0.0,Credit Card,Business
ORD-10145,2025-03-17,CUST-3738,West,Electronics,Headphones,2,155.29,310.57,170.95,139.62,0.0,PayPal,Consumer
ORD-10146,2024-09-24,CUST-2403,South,Electronics,Camera,5,305.67,,956.53,571.84,0.0,Debit Card,Business
ORD-10147,2025-05-24,CUST-3659,North,Electronics,Camera,2,317.3,634.6,429.9,204.7,0.0,Credit Card,Consumer
ORD-10148,2025-01-20,CUST-1403,North,Sports,Bicycle,14,68.21,954.88,,368.96,5.0,Bank Transfer,Enterprise
ORD-10149,2025-01-21,CUST-2592,North,Clothing,Jacket,5,73.62,368.12,149.98,218.14,0.0,Debit Card,Consumer
ORD-10150,2024-04-22,CUST-1314,East,Clothing,Jeans,4,40.52,162.06,79.28,82.78,0.0,Credit Card,Consumer
ORD-10151,2024-03-21,CUST-3977,West,Clothing,Sneakers,2,32.07,64.15,34.05,30.1,0.0,Credit Card,Business
ORD-10152,2024-04-22,CUST-3645,North,Books,Self-Help,2,13.78,27.56,13.17,14.39,20.0,Debit Card,Consumer
ORD-10153,2024-01-02,CUST-1440,South,Sports,Running Shoes,1,99.77,99.77,46.47,53.3,0.0,Bank Transfer,Business
ORD-10154,2024-08-07,CUST-2892,South,Home & Garden,Rug,1,47.39,47.39,26.62,20.77,0.0,Credit Card,Consumer
ORD-10155,2024-08-12,CUST-3741,West,Electronics,Phone,3,330.16,990.48,589.19,401.29,0.0,Credit Card,Consumer
ORD-10156,2025-01-19,CUST-3864,South,Electronics,Laptop,1,318.16,318.16,169.42,148.74,0.0,Bank Transfer,Business
ORD-10157,2025-02-06,CUST-2464,North,Books,Novel,4,23.13,92.53,55.52,37.01,0.0,Debit Card,Consumer
ORD-10158,2024-05-09,CUST-1640,North,Clothing,Sneakers,1,48.17,48.17,27.27,20.9,15.0,Credit Card,Consumer
ORD-10159,2024-02-22,CUST-1679,South,Electronics,Camera,2,347.96,695.92,407.86,288.06,15.0,Debit Card,Business
ORD-10160,2025-02-19,CUST-3471,West,Clothing,T-Shirt,2,27.83,55.65,36.0,19.65,0.0,PayPal,Enterprise
ORD-10161,2024-09-03,CUST-1644,North,Sports,Dumbbell,2,103.03,206.05,116.69,89.36,0.0,PayPal,Consumer
ORD-10162,2025-03-14,CUST-3667,South,Clothing,Jeans,2,31.47,62.93,33.06,29.87,0.0,Bank Transfer,Business
ORD-10163,2024-07-21,CUST-1983,East,Clothing,Sneakers,2,32.38,55.05,29.74,25.31,0.0,Debit Card,Enterprise
ORD-10164,2024-07-02,CUST-1968,South,Sports,Running Shoes,2,59.66,101.42,53.92,47.5,0.0,Credit Card,Consumer
ORD-10165,2024-05-02,CUST-1303,North,Clothing,Sneakers,2,32.57,65.14,43.23,21.91,0.0,Bank Transfer,Enterprise
ORD-10166,2025-02-04,CUST-3629,West,Electronics,Headphones,1,251.02,251.02,173.39,77.63,0.0,PayPal,Consumer
ORD-10167,2024-10-20,CUST-1419,East,Books,Biography,1,20.2,20.2,9.05,11.15,5.0,Debit Card,Business
ORD-10168,2024-10-06,CUST-1839,East,Books,Cookbook,6,17.05,102.28,50.55,51.73,0.0,Bank Transfer,Consumer
ORD-10169,2024-07-16,CUST-1416,East,Sports,Yoga Mat,1,53.82,45.75,26.33,19.42,5.0,Bank Transfer,Business
ORD-10170,2025-05-25,CUST-1126,West,Home & Garden,Tool Set,3,57.31,171.93,79.38,92.55,0.0,Debit Card,Business
ORD-10171,2024-05-23,CUST-1775,South,Electronics,Tablet,3,224.46,673.39,455.16,218.23,15.0,Credit Card,Consumer
ORD-10172,2024-07-19,CUST-3992,South,Sports,Tennis Racket,1,69.58,59.14,35.89,23.25,0.0,Credit Card,Consumer
ORD-10173,2024-05-03,CUST-2969,South,Electronics,Tablet,1,341.05,341.05,200.52,140.53,15.0,Credit Card,Business
ORD-10174,2024-07-05,CUST-2718,South,Sports,Tennis Racket,1,85.21,72.43,42.29,30.14,10.0,Debit Card,Business
ORD-10175,2024-11-21,CUST-2790,North,Sports,Tennis Racket,1,122.21,183.31,125.41,57.9,20.0,PayPal,Consumer
ORD-10176,2025-04-08,CUST-2256,West,Home & Garden,Tool Set,1,66.43,66.43,38.03,28.4,5.0,Bank Transfer,Business
ORD-10177,2024-12-14,CUST-1581,West,Sports,Tennis Racket,4,97.0,581.98,355.89,226.09,0.0,Debit Card,Consumer
ORD-10178,2025-02-06,CUST-1100,South,Home & Garden,Lamp,2,51.41,102.82,44.6,58.22,0.0,Credit Card,Business
ORD-10179,2024-12-11,CUST-3342,South,Electronics,Headphones,1,183.59,275.38,131.0,144.38,0.0,Credit Card,
ORD-10180,2025-05-25,CUST-3113,North,Home & Garden,Curtains,3,55.22,165.65,106.69,58.96,0.0,Bank Transfer,Consumer
ORD-10181,2024-05-26,CUST-1278,West,Electronics,Laptop,2,251.6,503.2,203.97,299.23,0.0,Bank Transfer,Consumer
ORD-10182,2024-05-27,CUST-2894,South,Clothing,T-Shirt,1,57.88,57.88,,31.34,0.0,Bank Transfer,Consumer
ORD-10183,2025-05-03,CUST-1786,East,Electronics,Tablet,2,292.98,585.97,381.35,204.62,0.0,Bank Transfer,Business
ORD-10184,2024-12-03,CUST-3845,West,Clothing,T-Shirt,3,43.68,196.55,130.4,66.15,0.0,Bank Transfer,Consumer
ORD-10185,2025-04-17,CUST-1613,South,Sports,Dumbbell,1,50.76,50.76,24.01,26.75,5.0,Debit Card,Business
ORD-10186,2024-05-30,CUST-3946,West,Books,Self-Help,14,11.85,165.94,92.65,73.29,0.0,Credit Card,Enterprise
ORD-10187,2025-02-18,CUST-2011,South,Electronics,Laptop,1,301.58,301.58,156.96,144.62,15.0,Credit Card,Business
ORD-10188,2024-10-24,CUST-1252,East,Clothing,T-Shirt,4,47.1,188.39,82.51,105.88,0.0,Debit Card,Consumer
ORD-10189,2024-09-19,CUST-2568,South,Clothing,Sneakers,5,38.39,191.97,107.81,84.16,0.0,PayPal,Consumer
ORD-10190,2024-05-23,CUST-1085,South,Books,Biography,3,26.91,80.73,43.45,37.28,0.0,Credit Card,Consumer
ORD-10191,2024-12-11,CUST-1251,West,Clothing,Dress,3,56.31,253.38,148.94,104.44,0.0,PayPal,Consumer
ORD-10192,2024-01-02,CUST-2775,East,Home & Garden,Rug,1,51.94,51.94,24.89,27.05,0.0,PayPal,Business
ORD-10193,2024-10-30,CUST-1424,South,Books,Novel,3,21.69,65.07,28.11,36.96,0.0,PayPal,Consumer
ORD-10194,2024-09-10,CUST-2864,North,Clothing,Sneakers,3,40.63,,78.05,43.84,0.0,PayPal,Enterprise
ORD-10195,2025-03-28,CUST-1470,North,Sports,Tennis Racket,1,117.01,117.01,,63.45,0.0,Credit Card,Consumer
ORD-10196,2024-02-06,CUST-3349,East,Sports,Yoga Mat,1,75.37,75.37,45.69,29.68,10.0,Credit Card,Consumer
ORD-10197,2024-06-08,CUST-3638,South,Books,Cookbook,2,26.1,44.37,23.66,20.71,5.0,Debit Card,Consumer
ORD-10198,2024-01-09,CUST-2116,West,Electronics,Laptop,2,317.66,635.31,349.85,285.46,20.0,Credit Card,Business
ORD-10199,2024-08-20,CUST-3133,South,Clothing,T-Shirt,2,60.32,120.64,49.07,71.57,0.0,Debit Card,Consumer
ORD-10200,2024-04-08,CUST-2660,South,Sports,Bicycle,3,105.5,316.51,199.35,117.16,10.0,PayPal,Consumer
ORD-10201,2024-07-26,CUST-3828,East,Clothing,Dress,3,43.9,111.93,68.12,43.81,0.0,Debit Card,Business
ORD-10202,2024-05-10,CUST-3033,South,Home & Garden,Tool Set,5,67.32,336.58,163.53,173.05,20.0,Debit Card,Enterprise
ORD-10203,2025-02-07,CUST-2888,West,Electronics,Laptop,2,218.55,437.1,289.74,147.36,0.0,Credit Card,Consumer
ORD-10204,2024-05-31,CUST-2621,East,Electronics,Tablet,6,388.1,2328.61,1293.61,1035.0,0.0,Debit Card,Consumer
ORD-10205,2024-02-23,CUST-3312,North,Clothing,Jeans,3,23.54,70.61,34.52,36.09,5.0,PayPal,
ORD-10206,2024-04-29,CUST-1207,East,Clothing,Jeans,1,52.93,52.93,25.64,27.29,0.0,Credit Card,Business
ORD-10207,2025-02-23,CUST-3063,North,Clothing,T-Shirt,1,35.93,35.93,23.92,12.01,0.0,Credit Card,Consumer
ORD-10208,2025-02-25,CUST-2754,South,Clothing,Jeans,3,46.58,139.75,74.89,64.86,0.0,Credit Card,Enterprise
