customer_id,signup_date,last_active_date,monthly_spend,total_orders,support_tickets,plan_type,region,satisfaction_score,churned
C-50039,2022-10-11,2022-11-28,171.14,1,3,Enterprise,Europe,5.0,False
C-50040,2022-10-28,2022-12-02,28.64,3,0,Basic,Asia Pacific,8.0,False
C-50041,2023-06-21,2023-07-31,172.73,2,0,Enterprise,Asia Pacific,8.0,True
C-50042,2024-07-05,2024-10-30,,7,4,Basic,Latin America,4.0,False
C-50043,2022-08-28,2023-02-20,29.14,10,1,Basic,North America,6.0,True
C-50044,2023-07-24,2024-01-24,23.92,14,1,Basic,Asia Pacific,8.0,False
C-50045,2022-06-03,2022-12-23,28.86,13,1,Basic,Europe,8.0,False
C-50046,2024-12-21,2025-02-12,31.8,2,2,Basic,Europe,9.0,False
C-50047,2025-01-31,2025-06-30,132.29,150,1,Enterprise,North America,6.0,False
C-50048,2023-04-23,2023-11-21,87.79,16,0,Pro,Latin America,6.0,False
C-50049,2023-09-21,2023-12-18,35.4,9,2,Basic,North America,5.0,True
C-50050,2024-01-02,2024-10-06,204.91,19,4,Enterprise,Asia Pacific,7.0,False
C-50051,2024-08-05,2025-04-02,68.47,19,0,Pro,Europe,7.0,False
C-50052,2022-10-29,2023-06-03,235.32,19,2,Enterprise,Europe,9.0,True
C-50053,2023-11-25,2025-01-08,91.27,18,0,Pro,Asia Pacific,9.0,False
C-50054,2023-08-14,2024-01-16,32.66,8,3,Basic,North America,7.0,False
C-50055,2023-08-24,2023-12-09,66.44,5,3,Pro,Europe,5.0,False
C-50056,2024-09-04,2025-02-09,227.28,6,2,Enterprise,North America,8.0,False
C-50057,2023-01-20,2023-08-22,96.51,8,0,Pro,Europe,7.0,False
C-50058,2022-06-25,2022-08-20,21.45,2,4,Basic,Asia Pacific,7.0,False
C-50059,2022-09-18,2025-06-30,168.83,105,1,Enterprise,Asia Pacific,8.0,False
C-50060,2024-03-11,2024-05-22,21.43,5,2,Basic,Latin America,8.0,False
C-50061,2022-07-11,2023-02-06,32.87,8,5,Basic,North America,8.0,True
C-50062,2024-03-07,2024-09-06,26.27,10,2,Basic,Latin America,7.0,True
C-50063,2024-09-25,2025-06-30,72.37,26,1,Pro,Asia Pacific,7.0,True
C-50064,2022-10-16,2023-10-13,37.33,28,1,Basic,Latin America,8.0,False
C-50065,2023-04-21,2023-11-24,29.7,15,2,Basic,Asia Pacific,9.0,False
C-50066,2022-10-08,2025-06-30,81.96,72,4,Pro,Latin America,6.0,True
C-50067,2024-09-28,2025-06-30,223.33,24,1,Enterprise,Europe,6.0,False
C-50068,2023-10-12,2024-02-15,41.1,5,1,Basic,Latin America,8.0,False
C-50069,2024-08-27,2025-06-30,166.84,15,0,Enterprise,Latin America,7.0,False
C-50070,2024-03-26,2024-04-25,30.06,1,2,Basic,Asia Pacific,8.0,False
C-50071,2024-08-22,2025-06-30,67.54,22,2,Pro,Asia Pacific,7.0,True
C-50072,2022-11-04,2024-03-10,31.33,35,0,Basic,Latin America,8.0,False
C-50073,2023-02-12,2025-03-27,165.76,55,2,Enterprise,Asia Pacific,7.0,False
C-50074,2023-02-01,2024-02-03,30.5,24,3,Basic,Asia Pacific,6.0,False
C-50075,2023-05-29,2023-10-08,167.8,15,1,Enterprise,North America,5.0,True
C-50076,2023-01-19,2025-02-11,28.47,48,1,Basic,Latin America,6.0,False
C-50077,2024-05-31,2024-08-14,74.3,4,1,Pro,Europe,6.0,False
C-50078,2024-05-06,2025-06-30,68.25,47,0,Pro,North America,6.0,False
C-50079,2024-06-04,2024-10-05,90.27,8,1,Pro,Latin America,,True
C-50080,2024-03-06,2025-01-07,35.14,17,1,Basic,North America,5.0,True
C-50081,2022-08-16,2022-10-01,102.87,5,0,Pro,Asia Pacific,8.0,False
C-50082,2024-04-01,2025-06-30,59.01,43,3,Pro,North America,6.0,True
C-50083,2024-08-08,2025-06-30,258.92,22,1,Enterprise,North America,8.0,False
C-50084,2024-03-10,2024-04-09,78.57,2,5,Pro,North America,5.0,False
C-50085,2024-07-16,2025-06-30,26.65,39,3,Basic,North America,7.0,False
C-50086,2023-04-28,2025-06-30,22.78,86,0,Basic,North America,4.0,False
C-50087,2024-12-07,2025-06-30,35.8,44,1,Basic,Latin America,5.0,False
C-50088,2023-05-22,2023-11-11,34.76,14,2,Basic,North America,9.0,False
C-50089,2022-10-18,2025-05-30,59.69,69,3,Pro,Latin America,7.0,False
C-50090,2023-01-02,2023-03-27,32.03,1,0,Basic,Europe,6.0,False
C-50091,2024-04-23,2024-12-19,79.3,15,3,Pro,North America,9.0,False
C-50092,2024-03-24,2025-06-30,75.84,58,5,Pro,Europe,9.0,True
C-50093,2024-01-16,2025-01-17,26.19,30,1,Basic,Europe,6.0,False
C-50094,2022-12-09,2023-05-16,34.78,10,4,Basic,Latin America,,True
C-50095,2024-05-02,2024-07-06,159.96,2,2,Enterprise,Latin America,5.0,False
C-50096,2023-10-27,2024-08-22,23.81,23,3,Basic,North America,7.0,True
C-50097,2023-08-04,2025-06-30,32.43,47,1,Basic,Asia Pacific,6.0,False
C-50098,2022-12-02,2024-04-22,24.21,32,1,Basic,North America,7.0,False
C-50099,2023-01-17,2025-06-30,177.76,65,1,Enterprise,Latin America,9.0,False
C-50100,2024-12-16,2025-06-30,15.64,33,0,Basic,Asia Pacific,7.0,False
C-50101,2025-01-18,2025-06-30,75.7,22,2,Pro,Europe,10.0,False
C-50102,2022-06-09,2022-11-16,80.06,6,2,Pro,North America,5.0,False
C-50103,2024-05-17,2024-07-06,24.37,5,0,Basic,Europe,7.0,False
C-50104,2024-12-23,2025-06-30,38.71,29,4,Basic,Asia Pacific,7.0,False
C-50105,2024-01-28,2024-11-05,82.22,28,2,Pro,Latin America,7.0,False
C-50106,2023-02-02,2024-06-06,32.33,29,2,Basic,Asia Pacific,9.0,False
C-50107,2023-11-26,2024-02-20,111.62,7,2,Pro,Asia Pacific,10.0,False
C-50108,2024-04-06,2024-06-07,198.83,5,1,Enterprise,Europe,8.0,False
C-50109,2023-05-20,2023-06-19,103.53,2,1,Pro,North America,5.0,False
C-50110,2022-11-02,2023-06-07,20.71,9,0,Basic,Latin America,4.0,True
C-50111,2024-12-08,2025-03-20,219.63,8,0,Enterprise,Asia Pacific,6.0,True
C-50112,2024-08-23,2025-06-30,18.35,31,2,Basic,North America,8.0,False
C-50113,2024-05-20,2025-06-30,83.7,101,3,Pro,Asia Pacific,8.0,False
C-50114,2023-11-16,2025-06-30,76.76,42,2,Pro,North America,6.0,False
C-50115,2023-06-19,2024-02-11,91.08,20,1,Pro,North America,8.0,False
C-50116,2023-09-04,2025-06-22,69.17,52,0,Pro,Asia Pacific,8.0,False
C-50117,2022-12-31,2023-09-30,,12,4,Pro,Europe,6.0,True
C-50118,2023-04-18,2023-05-18,71.89,0,3,Pro,North America,10.0,False
C-50119,2022-11-24,2023-07-20,23.82,14,1,Basic,North America,6.0,False
C-50120,2023-03-23,2023-05-29,90.41,4,0,Pro,Latin America,8.0,False
C-50121,2024-04-06,2025-06-30,71.99,29,2,Pro,Latin America,5.0,False
C-50122,2024-03-07,2024-06-17,223.57,8,1,Enterprise,Asia Pacific,9.0,False
C-50123,2024-07-14,2024-11-04,73.01,3,3,Pro,Europe,5.0,False
C-50124,2023-06-19,2024-08-22,32.72,25,3,Basic,North America,7.0,False
C-50125,2023-12-03,2024-01-30,74.41,1,1,Pro,Latin America,6.0,False
C-50126,2023-11-30,2025-06-30,29.25,44,3,Basic,North America,6.0,True
C-50127,2024-02-24,2025-06-30,147.05,41,2,Enterprise,Latin America,6.0,False
C-50128,2022-06-27,2022-08-10,24.29,2,2,Basic,Asia Pacific,6.0,False
C-50129,2023-12-06,2024-01-10,30.22,1,1,Basic,Latin America,6.0,False
C-50130,2022-07-02,2024-04-02,33.46,47,1,Basic,Europe,9.0,False
C-50131,2023-05-29,2023-06-28,25.06,3,1,Basic,North America,8.0,False
C-50132,2024-08-23,2024-09-22,189.58,1,3,Enterprise,Latin America,7.0,False
C-50133,2023-04-15,2023-08-03,107.57,4,0,Pro,North America,5.0,False
C-50134,2023-01-16,2023-08-28,27.06,16,1,Basic,Latin America,4.0,False
C-50135,2023-11-26,2025-06-30,30.07,38,0,Basic,Asia Pacific,6.0,True
C-50136,2024-02-14,2024-08-06,32.21,6,2,Basic,North America,7.0,True
C-50137,2022-08-07,2025-06-18,229.62,75,1,Enterprise,North America,6.0,False
C-50138,2023-09-15,2025-06-30,78.79,69,1,Pro,Europe,6.0,False
C-50139,2024-06-10,2024-09-13,26.32,8,2,Basic,Asia Pacific,8.0,True
C-50140,2022-11-16,2024-01-23,20.65,26,0,Basic,Europe,6.0,False
C-50141,2022-08-31,2024-12-18,78.16,50,0,Pro,North America,6.0,True
C-50142,2024-01-11,2025-06-12,159.09,33,1,Enterprise,Europe,7.0,False
C-50143,2023-02-28,2024-07-19,101.9,44,2,Pro,Europe,9.0,False
C-50144,2023-08-07,2023-12-05,65.83,11,2,Pro,Latin America,6.0,False
C-50145,2024-11-08,2025-06-30,239.05,26,1,Enterprise,North America,4.0,False
C-50146,2024-04-26,2025-06-30,22.03,42,1,Basic,Latin America,7.0,True
C-50147,2022-10-06,2022-11-05,83.52,3,0,Pro,Latin America,8.0,False
C-50148,2023-05-08,2023-06-07,182.3,5,3,Enterprise,Asia Pacific,5.0,False
C-50149,2022-07-02,2024-10-27,25.65,55,2,Basic,North America,9.0,True
C-50150,2024-06-27,2025-06-30,36.88,76,3,Basic,Asia Pacific,9.0,True
C-50151,2024-11-22,2025-03-08,29.9,6,1,Basic,Asia Pacific,7.0,False
C-50152,2023-06-26,2025-05-03,14.54,49,2,Basic,Asia Pacific,8.0,False
C-50153,2022-12-27,2024-02-13,96.34,28,2,Pro,Asia Pacific,8.0,False
C-50154,2022-11-18,2022-12-22,79.79,1,1,Pro,North America,8.0,False
C-50155,2024-10-19,2025-05-15,26.19,17,0,Basic,North America,7.0,False
C-50156,2022-07-18,2023-02-15,26.52,15,1,Basic,North America,8.0,False
C-50157,2022-12-16,2023-01-15,32.14,0,2,Basic,Latin America,8.0,False
C-50158,2022-09-16,2022-12-25,22.39,7,3,Basic,North America,6.0,False
C-50159,2023-05-14,2025-01-13,30.89,43,3,Basic,North America,,False
C-50160,2024-04-20,2024-08-25,29.7,13,2,Basic,Europe,7.0,False
C-50161,2022-07-27,2023-09-12,77.38,24,2,Pro,Latin America,7.0,False
C-50162,2024-10-02,2024-11-01,228.26,0,1,Enterprise,Europe,5.0,False
C-50163,2024-01-21,2025-06-30,177.48,56,0,Enterprise,Asia Pacific,8.0,False
C-50164,2022-07-11,2022-11-25,37.2,9,0,Basic,Latin America,10.0,False
C-50165,2023-12-25,2024-04-10,34.83,3,4,Basic,North America,6.0,True
C-50166,2022-10-05,2023-03-27,34.45,8,0,Basic,Europe,8.0,False
C-50167,2023-08-29,2025-06-30,76.68,59,2,Pro,Latin America,7.0,False
C-50168,2024-03-20,2024-06-13,100.46,1,2,Pro,Europe,5.0,False
C-50169,2023-09-07,2024-07-10,66.78,16,2,Pro,Europe,8.0,False
C-50170,2024-07-07,2025-06-30,25.59,58,1,Basic,Asia Pacific,8.0,True
C-50171,2023-12-02,2024-07-07,155.79,12,0,Enterprise,Asia Pacific,9.0,False
C-50172,2022-09-15,2025-01-08,171.02,55,1,Enterprise,Latin America,7.0,False
C-50173,2024-06-12,2025-01-25,29.1,11,1,Basic,North America,6.0,False
C-50174,2023-03-22,2023-05-11,88.27,3,2,Pro,North America,6.0,True
C-50175,2023-09-05,2024-05-13,180.52,11,0,Enterprise,North America,6.0,False
C-50176,2024-06-07,2025-04-03,231.83,30,1,Enterprise,Latin America,6.0,False
C-50177,2023-05-13,2024-09-26,82.41,41,1,Pro,Latin America,8.0,False
C-50178,2023-10-09,2023-12-23,212.24,7,0,Enterprise,North America,8.0,False
C-50179,2023-09-23,2024-01-05,81.61,9,5,Pro,Latin America,8.0,False
C-50180,2023-11-04,2024-10-24,28.58,21,2,Basic,Asia Pacific,6.0,False
C-50181,2024-05-11,2025-06-30,83.44,58,2,Pro,North America,10.0,False
C-50182,2023-08-25,2024-07-17,22.08,19,1,Basic,Latin America,9.0,False
C-50183,2024-09-12,2025-06-30,25.61,86,2,Basic,Asia Pacific,4.0,True
C-50184,2024-03-28,2024-11-14,86.41,9,2,Pro,Europe,5.0,False
C-50185,2023-07-06,2025-06-30,34.4,48,2,Basic,North America,8.0,False
C-50186,2023-05-03,2023-08-28,48.61,10,1,Pro,North America,3.0,True
C-50187,2024-04-14,2025-02-13,77.07,14,0,Pro,Europe,7.0,False
C-50188,2024-03-13,2024-08-06,72.62,11,2,Pro,North America,8.0,True
C-50189,2023-06-08,2023-08-09,32.28,5,1,Basic,North America,7.0,False
C-50190,2023-12-20,2024-05-01,241.16,12,2,Enterprise,Asia Pacific,6.0,False
C-50191,2023-01-04,2023-03-11,30.52,2,3,Basic,Europe,7.0,False
C-50192,2022-12-12,2023-11-22,24.43,27,2,Basic,Latin America,6.0,False
C-50193,2022-06-28,2022-12-16,32.32,8,0,Basic,Latin America,7.0,True
C-50194,2025-01-18,2025-06-30,30.77,28,3,Basic,Latin America,8.0,True
C-50195,2024-05-10,2024-11-07,38.43,11,1,Basic,Europe,6.0,False
C-50196,2024-01-15,2025-06-30,36.16,63,2,Basic,Europe,8.0,False
C-50197,2024-05-25,2024-06-24,23.4,5,0,Basic,North America,7.0,True
C-50198,2024-10-24,2025-06-30,85.85,22,1,Pro,Latin America,7.0,False
C-50199,2023-07-23,2023-11-08,83.46,3,3,Pro,Latin America,7.0,False
C-50200,2023-10-11,2024-04-01,86.48,12,0,Pro,North America,7.0,False
C-50201,2024-11-26,2025-06-30,37.37,20,1,Basic,North America,4.0,True
C-50202,2023-05-26,2025-01-06,30.53,41,2,Basic,Europe,6.0,False
C-50203,2023-01-21,2023-04-14,24.02,6,2,Basic,Europe,6.0,False
C-50204,2023-06-25,2023-10-08,51.82,7,0,Pro,Europe,,False
C-50205,2025-01-24,2025-06-30,12.81,11,5,Basic,Asia Pacific,9.0,False
C-50206,2023-04-24,2023-07-05,215.17,5,1,Enterprise,Asia Pacific,7.0,False
C-50207,2024-04-14,2024-08-04,31.74,8,0,Basic,Europe,7.0,True
C-50208,2023-11-12,2024-03-25,24.15,15,2,Basic,North America,8.0,False
C-50209,2022-09-26,2023-05-19,27.58,17,1,Basic,Europe,8.0,True
C-50210,2024-03-04,2024-04-03,52.59,2,2,Pro,Europe,3.0,False
C-50211,2024-06-18,2025-06-30,91.34,70,0,Enterprise,Asia Pacific,9.0,False
C-50212,2023-06-25,2024-04-23,93.28,17,1,Pro,North America,9.0,False
C-50213,2023-12-06,2024-10-10,295.86,15,0,Enterprise,Latin America,7.0,False
C-50214,2022-12-02,2023-02-28,24.3,7,0,Basic,North America,8.0,False
C-50215,2023-11-24,2025-02-19,85.34,35,0,Pro,Latin America,10.0,False
C-50216,2022-09-05,2022-12-03,26.11,8,2,Basic,North America,7.0,False
C-50217,2023-10-14,2024-02-14,28.63,5,0,Basic,Asia Pacific,6.0,False
C-50218,2024-03-24,2025-06-30,37.28,44,1,Basic,North America,10.0,False
C-50219,2024-05-13,2024-12-01,37.26,10,0,Basic,Latin America,6.0,False
C-50220,2023-01-04,2023-08-21,32.21,9,1,Basic,North America,7.0,True
C-50221,2022-08-10,2025-04-07,170.02,48,2,Enterprise,Latin America,6.0,True
C-50222,2023-07-19,2025-06-30,249.6,83,4,Enterprise,Europe,7.0,False
C-50223,2024-06-24,2025-06-30,22.29,35,3,Basic,Asia Pacific,10.0,True
C-50224,2024-10-05,2025-06-30,35.64,34,0,Basic,North America,5.0,True
C-50225,2023-02-21,2024-03-28,23.77,33,0,Basic,Europe,7.0,False
C-50226,2024-10-10,2025-06-30,26.91,75,1,Basic,Asia Pacific,7.0,False
C-50227,2023-11-22,2025-06-30,90.13,69,0,Pro,Latin America,6.0,False
C-50228,2022-07-31,2022-11-29,36.46,9,0,Basic,Latin America,10.0,False
C-50229,2024-02-09,2024-05-15,78.2,5,0,Pro,Latin America,6.0,False
C-50230,2023-08-05,2023-12-08,32.76,10,0,Basic,Asia Pacific,6.0,False
C-50231,2023-05-08,2023-09-17,64.07,7,2,Pro,North America,5.0,False
C-50232,2024-10-20,2025-06-30,242.44,43,2,Enterprise,Latin America,7.0,False
C-50233,2024-09-13,2024-10-25,23.63,1,3,Basic,Latin America,7.0,False
C-50234,2022-06-26,2022-07-26,32.24,0,0,Basic,Latin America,7.0,False
C-50235,2025-01-31,2025-03-02,27.9,1,6,Basic,Asia Pacific,4.0,True
C-50236,2024-10-03,2025-01-06,95.62,3,1,Pro,Latin America,8.0,False
C-50237,2023-07-11,2024-05-12,32.02,20,0,Basic,Latin America,6.0,False
C-50238,2022-11-09,2023-05-03,28.0,14,0,Basic,North America,8.0,False
C-50239,2022-12-12,2023-10-13,30.84,18,1,Basic,Asia Pacific,7.0,False
C-50240,2024-06-08,2025-06-30,29.41,40,1,Basic,Asia Pacific,6.0,True
C-50241,2023-07-31,2024-08-24,21.3,19,1,Basic,Europe,8.0,False
C-50242,2022-12-04,2023-05-26,88.54,13,0,Pro,Europe,8.0,False
C-50243,2025-01-06,2025-06-30,66.77,9,2,Pro,Asia Pacific,6.0,False
C-50244,2022-10-25,2025-04-17,27.23,70,1,Basic,North America,7.0,False
C-50245,2022-09-10,2023-09-24,67.38,27,3,Pro,Asia Pacific,7.0,False
C-50246,2023-02-22,2023-03-24,35.55,0,1,Basic,North America,6.0,False
C-50247,2024-06-07,2024-07-29,17.23,7,1,Basic,Asia Pacific,7.0,True
C-50248,2022-12-12,2025-06-30,70.85,64,0,Pro,North America,7.0,False
C-50249,2024-08-26,2025-02-14,28.57,16,3,Basic,North America,7.0,True
C-50250,2023-03-03,2023-12-11,31.36,24,1,Basic,Asia Pacific,6.0,True
C-50251,2023-06-03,2024-10-22,28.82,34,1,Basic,Europe,8.0,False
C-50252,2023-12-26,2024-04-30,35.14,8,5,Basic,Latin America,8.0,False
C-50253,2023-11-22,2024-07-06,12.13,12,2,Basic,Asia Pacific,9.0,False
C-50254,2024-09-11,2024-12-17,66.82,7,1,Pro,Latin America,5.0,False
C-50255,2022-12-16,2024-03-18,50.4,25,0,Pro,Europe,9.0,False
C-50256,2023-03-09,2024-09-21,27.76,45,0,Basic,Latin America,7.0,True
C-50257,2022-06-12,2023-08-12,32.03,29,1,Basic,North America,9.0,False
C-50258,2023-06-13,2024-01-09,112.51,18,2,Enterprise,Asia Pacific,10.0,False
C-50259,2022-09-05,2023-07-27,88.25,19,2,Pro,Latin America,7.0,False
C-50260,2022-11-07,2023-12-31,29.3,18,3,Basic,North America,10.0,False
C-50261,2022-10-11,2023-04-30,37.76,10,2,Basic,Europe,7.0,False
C-50262,2022-10-11,2022-11-10,35.64,2,1,Basic,Europe,8.0,False
C-50263,2022-07-12,2023-07-04,30.54,23,1,Basic,Europe,10.0,False
C-50264,2022-06-25,2022-08-15,69.47,6,0,Pro,North America,6.0,False
C-50265,2023-02-25,2023-03-27,93.86,3,1,Pro,Asia Pacific,6.0,False
C-50266,2023-06-03,2023-09-10,190.29,9,2,Enterprise,Europe,7.0,False
C-50267,2023-10-18,2023-12-13,22.92,3,1,Basic,Europe,6.0,False
C-50268,2024-05-11,2024-06-10,135.13,2,1,Enterprise,Asia Pacific,5.0,False
C-50269,2024-11-11,2025-06-04,21.51,18,0,Basic,North America,5.0,False
C-50270,2024-09-21,2024-12-05,26.44,1,1,Basic,Latin America,8.0,False
C-50271,2024-01-27,2025-04-11,29.04,25,1,Basic,North America,8.0,False
C-50272,2024-07-02,2025-06-30,69.55,57,3,Pro,Latin America,5.0,False
C-50273,2024-09-04,2025-06-30,192.63,51,1,Enterprise,North America,5.0,False
C-50274,2023-10-17,2024-07-31,83.77,18,3,Pro,Latin America,8.0,False
C-50275,2022-09-11,2023-09-09,38.37,30,2,Basic,Europe,7.0,False
C-50276,2022-10-11,2022-11-10,71.79,3,0,Pro,Latin America,5.0,False
C-50277,2024-08-25,2025-06-30,30.66,23,1,Basic,Europe,6.0,True
C-50278,2023-03-19,2023-06-07,25.91,9,2,Basic,Europe,7.0,False
C-50279,2024-03-27,2024-11-23,40.88,18,0,Pro,Europe,4.0,False
C-50280,2022-11-13,2025-06-30,93.84,129,3,Pro,Asia Pacific,8.0,False
C-50281,2023-04-21,2023-06-12,89.93,4,2,Pro,Latin America,10.0,False
C-50282,2023-09-26,2023-10-26,51.74,2,1,Pro,Asia Pacific,6.0,False
C-50283,2023-01-07,2024-06-03,171.24,32,0,Enterprise,Asia Pacific,9.0,False
C-50284,2024-01-20,2024-11-28,36.13,27,0,Basic,Asia Pacific,10.0,False
C-50285,2022-08-31,2022-10-27,24.22,6,2,Basic,North America,5.0,False
C-50286,2024-02-14,2024-08-08,85.7,9,0,Pro,North America,8.0,False
C-50287,2022-06-22,2023-05-20,31.86,18,2,Basic,Europe,,False
C-50288,2023-09-17,2025-06-30,76.31,71,3,Pro,Europe,,True
C-50289,2024-07-13,2025-04-12,33.11,21,1,Basic,Europe,7.0,False
C-50290,2024-03-07,2024-05-15,142.23,3,1,Enterprise,Asia Pacific,8.0,False
C-50291,2024-03-28,2025-06-30,24.31,41,2,Basic,Europe,8.0,False
C-50292,2022-09-20,2023-07-04,78.55,17,2,Pro,Latin America,6.0,True
C-50293,2024-06-16,2024-12-15,175.87,13,2,Enterprise,Latin America,6.0,False
C-50294,2024-02-14,2025-06-30,27.57,40,1,Basic,Latin America,6.0,False
C-50295,2023-09-05,2024-09-05,109.34,14,0,Pro,North America,7.0,False
C-50296,2024-06-22,2024-12-15,28.14,9,0,Basic,Europe,5.0,False
C-50297,2022-06-14,2022-11-28,74.8,17,3,Pro,Latin America,10.0,True
C-50298,2024-06-01,2024-07-21,286.54,3,1,Enterprise,Europe,6.0,False
C-50299,2025-01-03,2025-05-02,24.4,9,3,Basic,Europe,6.0,False
C-50300,2023-09-06,2025-06-30,21.39,66,3,Basic,Europe,7.0,True
C-50301,2024-03-27,2024-08-30,58.67,10,2,Pro,Asia Pacific,5.0,False
C-50302,2022-11-01,2024-02-05,31.47,33,3,Basic,Asia Pacific,6.0,False
C-50303,2024-02-26,2025-05-03,108.53,26,1,Pro,Asia Pacific,6.0,False
C-50304,2024-12-21,2025-06-30,20.28,55,0,Basic,Latin America,7.0,False
C-50305,2023-11-01,2024-08-17,186.89,20,3,Enterprise,Asia Pacific,8.0,True
C-50306,2023-07-19,2023-08-30,24.61,1,3,Basic,Latin America,6.0,False
C-50307,2023-06-18,2023-09-17,92.24,5,0,Pro,North America,6.0,False
C-50308,2023-02-13,2024-06-22,29.57,37,1,Basic,Latin America,,True
C-50309,2023-07-16,2023-10-23,103.43,6,0,Pro,North America,6.0,False
C-50310,2023-01-05,2023-11-19,25.71,22,1,Basic,Latin America,7.0,False
C-50311,2024-09-22,2025-06-30,79.23,43,1,Pro,Latin America,7.0,False
C-50312,2022-08-22,2025-03-06,18.28,58,0,Basic,Europe,5.0,False
C-50313,2023-01-01,2023-05-08,82.0,5,1,Pro,Europe,5.0,True
C-50314,2023-11-01,2024-01-22,93.47,4,4,Pro,Europe,8.0,False
C-50315,2024-06-03,2024-12-28,75.82,13,1,Pro,Latin America,9.0,False
C-50316,2024-06-02,2025-06-30,72.8,67,1,Pro,Latin America,6.0,False
C-50317,2025-01-28,2025-06-30,31.36,10,0,Basic,Europe,9.0,False
C-50318,2024-08-16,2025-06-30,28.48,33,0,Basic,North America,4.0,False
C-50319,2023-08-28,2023-09-27,82.21,1,2,Pro,Latin America,6.0,False
C-50320,2024-07-31,2025-06-30,110.52,45,1,Pro,Latin America,6.0,False
C-50321,2023-11-30,2025-01-20,19.03,27,2,Basic,Latin America,6.0,False
C-50322,2024-10-14,2025-06-30,83.86,58,1,Pro,Europe,7.0,False
C-50323,2022-09-01,2022-10-23,219.12,4,2,Enterprise,Asia Pacific,10.0,False
C-50324,2022-10-12,2023-01-11,23.29,11,2,Basic,Europe,8.0,True
C-50325,2023-10-19,2024-11-10,54.12,29,2,Pro,Asia Pacific,6.0,False
C-50326,2024-03-12,2024-05-06,27.62,4,0,Basic,Latin America,7.0,False
C-50327,2023-03-11,2023-08-11,87.74,12,1,Pro,Asia Pacific,6.0,False
C-50328,2023-06-09,2024-06-13,39.0,30,0,Pro,Asia Pacific,8.0,False
